Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.701418	0.685906	0.485149	0.554187	
0.685294	0.682770	0.584158	0.554187	
0.689130	0.677062	0.514851	0.554187	
0.672572	0.674305	0.574257	0.726601	
0.676965	0.667741	0.564356	0.554187	
0.674585	0.666980	0.584158	1.000000	
0.667753	0.658656	0.574257	0.554187	
0.656985	0.654643	0.574257	0.987685	
0.646342	0.653256	0.762376	1.000000	
0.647774	0.645100	0.722772	1.000000	
0.650532	0.640415	0.693069	1.000000	
0.622597	0.634744	0.683168	0.556650	
0.646548	0.634619	0.702970	1.000000	
0.623385	0.625857	0.752475	0.953202	
0.622018	0.623076	0.683168	1.000000	
0.625248	0.622910	0.782178	1.000000	
0.622668	0.618162	0.742574	1.000000	
0.602343	0.610171	0.831683	1.000000	
0.612176	0.606132	0.663366	1.000000	
0.629177	0.605780	0.732673	1.000000	
0.608086	0.596633	0.712871	1.000000	
0.603259	0.597228	0.792079	1.000000	
0.603548	0.589004	0.742574	1.000000	
0.601044	0.592656	0.792079	1.000000	
0.602804	0.588851	0.801980	1.000000	
0.585617	0.577721	0.742574	1.000000	
0.579659	0.577181	0.801980	1.000000	
0.578838	0.571597	0.782178	1.000000	
0.591731	0.571061	0.811881	1.000000	
0.569463	0.565443	0.772277	1.000000	
0.553379	0.563611	0.821782	1.000000	
0.552400	0.557365	0.831683	1.000000	
0.574352	0.562703	0.792079	1.000000	
0.568536	0.549477	0.801980	1.000000	
0.551481	0.546264	0.772277	1.000000	
0.548720	0.552876	0.851485	1.000000	
0.551237	0.542749	0.851485	1.000000	
0.532452	0.536327	0.881188	1.000000	
0.550961	0.535615	0.801980	1.000000	
0.513919	0.528970	0.831683	1.000000	
0.527057	0.532940	0.871287	1.000000	
0.531425	0.524683	0.841584	1.000000	
0.532865	0.521968	0.841584	1.000000	
0.506141	0.522885	0.900990	1.000000	
0.520972	0.511933	0.851485	1.000000	
0.511851	0.513621	0.821782	1.000000	
0.530883	0.508953	0.851485	1.000000	
0.516606	0.503917	0.831683	1.000000	
0.501476	0.504522	0.891089	1.000000	
0.517448	0.505408	0.871287	1.000000	
0.480060	0.495076	0.881188	1.000000	
0.523083	0.496964	0.851485	1.000000	
0.507157	0.488610	0.841584	1.000000	
0.523472	0.490993	0.821782	1.000000	
0.474456	0.489942	0.891089	1.000000	
0.507906	0.484428	0.841584	1.000000	
0.511237	0.481785	0.821782	1.000000	
0.475545	0.481556	0.891089	1.000000	
0.486444	0.480016	0.900990	1.000000	
0.487102	0.472412	0.900990	1.000000	
0.488765	0.467814	0.861386	1.000000	
0.493026	0.484793	0.831683	1.000000	
0.513406	0.462742	0.811881	1.000000	
0.516916	0.468363	0.782178	1.000000	
0.465722	0.461200	0.881188	1.000000	
0.485504	0.461435	0.801980	1.000000	
0.479710	0.460056	0.841584	1.000000	
0.479125	0.455035	0.792079	1.000000	
0.430726	0.453718	0.891089	1.000000	
0.442082	0.448136	0.930693	1.000000	
0.475092	0.448090	0.792079	1.000000	
0.499658	0.442658	0.831683	1.000000	
0.453840	0.443117	0.891089	1.000000	
0.453616	0.458557	0.891089	1.000000	
0.412529	0.436830	0.910891	1.000000	
0.507037	0.433019	0.752475	1.000000	
0.419346	0.445329	0.960396	1.000000	
0.447923	0.432817	0.940594	1.000000	
0.442035	0.427926	0.891089	1.000000	
0.454670	0.424308	0.841584	1.000000	
0.463901	0.429649	0.792079	1.000000	
0.442364	0.427670	0.881188	1.000000	
0.444678	0.423066	0.891089	1.000000	
0.489718	0.419111	0.841584	1.000000	
0.455976	0.423652	0.851485	1.000000	
0.398672	0.416120	0.960396	1.000000	
0.410425	0.412640	0.910891	1.000000	
0.433023	0.418201	0.861386	1.000000	
0.441520	0.412561	0.881188	1.000000	
0.435356	0.406742	0.891089	1.000000	
0.412095	0.402778	0.900990	1.000000	
0.426270	0.402043	0.831683	1.000000	
0.435523	0.409521	0.821782	1.000000	
0.461314	0.397407	0.910891	1.000000	
0.455191	0.394854	0.861386	1.000000	
0.388012	0.392672	0.940594	1.000000	
0.377185	0.396002	0.900990	1.000000	
0.445316	0.404219	0.871287	1.000000	
0.418975	0.386224	0.920792	1.000000	
0.452352	0.399401	0.792079	1.000000	
0.429623	0.388013	0.871287	1.000000	
0.411592	0.382162	0.900990	1.000000	
0.418594	0.382082	0.900990	1.000000	
0.423805	0.386919	0.851485	1.000000	
0.423495	0.382342	0.920792	1.000000	
0.391998	0.375384	0.891089	1.000000	
0.378852	0.378681	0.891089	1.000000	
0.413456	0.380160	0.871287	1.000000	
0.429370	0.373718	0.871287	1.000000	
0.438518	0.371589	0.801980	1.000000	
0.431110	0.373825	0.851485	1.000000	
0.411604	0.373180	0.871287	1.000000	
0.425166	0.364713	0.851485	1.000000	
0.398278	0.365235	0.841584	1.000000	
0.332317	0.371844	0.940594	1.000000	
0.438157	0.359337	0.881188	1.000000	
0.427043	0.359484	0.861386	1.000000	
0.389591	0.364438	0.910891	1.000000	
0.397034	0.359821	0.910891	1.000000	
0.441509	0.368997	0.841584	1.000000	
0.331889	0.354243	0.960396	1.000000	
0.361980	0.351940	0.881188	1.000000	
0.361691	0.350723	0.910891	1.000000	
0.401111	0.351471	0.841584	1.000000	
0.405010	0.348847	0.891089	1.000000	
0.375209	0.352297	0.920792	1.000000	
0.369797	0.343916	0.920792	1.000000	
0.397486	0.355403	0.861386	1.000000	
0.361400	0.342751	0.891089	1.000000	
0.361910	0.340161	0.871287	1.000000	
0.415416	0.349471	0.871287	1.000000	
0.386380	0.335543	0.881188	1.000000	
0.349519	0.343260	0.910891	1.000000	
0.379128	0.336702	0.940594	1.000000	
0.389559	0.333025	0.871287	1.000000	
0.373706	0.330185	0.881188	1.000000	
0.382793	0.334907	0.881188	1.000000	
0.390390	0.332909	0.891089	1.000000	
0.368383	0.325983	0.900990	1.000000	
0.349734	0.337772	0.920792	1.000000	
0.360494	0.329330	0.920792	1.000000	
0.329699	0.328765	0.940594	1.000000	
0.439151	0.323554	0.821782	1.000000	
0.367207	0.321945	0.881188	1.000000	
0.367720	0.326567	0.881188	1.000000	
0.378945	0.323756	0.851485	1.000000	
0.327214	0.325501	0.900990	1.000000	
0.355480	0.318450	0.920792	1.000000	
0.352956	0.320833	0.920792	1.000000	
0.391444	0.327518	0.900990	1.000000	
0.347309	0.311570	0.891089	1.000000	
0.345725	0.315983	0.910891	1.000000	
0.388419	0.321234	0.841584	1.000000	
0.339383	0.313458	0.910891	1.000000	
0.402907	0.311284	0.871287	1.000000	
0.322589	0.310903	0.900990	1.000000	
0.361479	0.321520	0.891089	1.000000	
0.357392	0.307514	0.900990	1.000000	
0.349881	0.310120	0.910891	1.000000	
0.398639	0.306645	0.871287	1.000000	
0.313420	0.309090	0.920792	1.000000	
0.336127	0.312084	0.930693	1.000000	
0.360820	0.297147	0.881188	1.000000	
0.346151	0.295126	0.881188	1.000000	
0.366190	0.316828	0.900990	1.000000	
0.342870	0.298421	0.900990	1.000000	
0.362785	0.295492	0.881188	1.000000	
0.376045	0.301882	0.841584	1.000000	
0.339435	0.295769	0.910891	1.000000	
0.348326	0.295702	0.910891	1.000000	
0.299605	0.298730	0.950495	1.000000	
0.329255	0.303347	0.910891	1.000000	
0.334695	0.294197	0.910891	1.000000	
0.339248	0.299482	0.920792	1.000000	
0.342067	0.289875	0.871287	1.000000	
0.338910	0.283143	0.871287	1.000000	
0.414931	0.291942	0.831683	1.000000	
0.321686	0.296068	0.910891	1.000000	
0.319191	0.290645	0.920792	1.000000	
0.390778	0.295602	0.801980	1.000000	
0.340840	0.290361	0.871287	1.000000	
0.351449	0.279403	0.891089	1.000000	
0.318684	0.281129	0.910891	1.000000	
0.344629	0.284196	0.920792	1.000000	
0.359484	0.275640	0.871287	1.000000	
0.324448	0.281353	0.910891	1.000000	
0.339687	0.283999	0.920792	1.000000	
0.343013	0.292782	0.881188	1.000000	
0.355979	0.278169	0.900990	1.000000	
0.330480	0.274117	0.871287	1.000000	
0.359064	0.290117	0.841584	1.000000	
0.316311	0.275909	0.930693	1.000000	
0.327258	0.271637	0.920792	1.000000	
0.321005	0.268144	0.940594	1.000000	
0.322732	0.277076	0.900990	1.000000	
0.309638	0.284294	0.881188	1.000000	
0.266208	0.265222	0.940594	1.000000	
0.339090	0.269167	0.891089	1.000000	
0.323820	0.265716	0.891089	1.000000	
0.391079	0.271630	0.811881	1.000000	
0.316725	0.261073	0.900990	1.000000	
0.337899	0.263133	0.900990	1.000000	
0.343206	0.265742	0.891089	1.000000	
0.296148	0.265801	0.871287	1.000000	
0.274883	0.258333	0.930693	1.000000	
0.308714	0.268613	0.891089	1.000000	
0.355450	0.269110	0.881188	1.000000	
0.315315	0.256081	0.881188	1.000000	
0.374225	0.254923	0.831683	1.000000	
0.348970	0.259466	0.910891	1.000000	
0.299849	0.265542	0.910891	1.000000	
0.327689	0.253859	0.891089	1.000000	
0.327612	0.253909	0.851485	1.000000	
0.301036	0.255105	0.920792	1.000000	
0.282166	0.248277	0.940594	1.000000	
0.305567	0.251963	0.910891	1.000000	
0.287196	0.256196	0.960396	1.000000	
0.336177	0.248717	0.881188	1.000000	
0.321898	0.259455	0.900990	1.000000	
0.316805	0.250527	0.891089	1.000000	
0.328903	0.246670	0.861386	1.000000	
0.309640	0.247416	0.910891	1.000000	
0.287205	0.253587	0.920792	1.000000	
0.305032	0.252536	0.920792	1.000000	
0.279118	0.242714	0.940594	1.000000	
0.292928	0.249011	0.910891	1.000000	
0.273550	0.252935	0.910891	1.000000	
0.290823	0.240313	0.900990	1.000000	
0.302644	0.238427	0.930693	1.000000	
0.251732	0.241310	0.910891	1.000000	
0.315340	0.239570	0.881188	1.000000	
0.264314	0.244862	0.920792	1.000000	
0.302813	0.250783	0.891089	1.000000	
0.310282	0.236053	0.891089	1.000000	
0.355384	0.240122	0.881188	1.000000	
0.328581	0.244692	0.891089	1.000000	
0.304242	0.239003	0.900990	1.000000	
0.323303	0.245464	0.881188	1.000000	
0.305066	0.237368	0.910891	1.000000	
0.300099	0.229681	0.900990	1.000000	
0.290119	0.231943	0.920792	1.000000	
0.320724	0.235637	0.920792	1.000000	
0.316319	0.231971	0.920792	1.000000	
0.286154	0.233763	0.910891	1.000000	
0.288427	0.234736	0.930693	1.000000	
0.319096	0.228300	0.910891	1.000000	
0.262385	0.227905	0.940594	1.000000	
0.326917	0.227435	0.881188	1.000000	
0.323164	0.250667	0.861386	1.000000	
0.279679	0.223492	0.900990	1.000000	
0.336044	0.223638	0.841584	1.000000	
0.292312	0.225079	0.910891	1.000000	
0.270933	0.224152	0.930693	1.000000	
0.316922	0.229186	0.881188	1.000000	
0.306590	0.223106	0.900990	1.000000	
0.362339	0.230461	0.881188	1.000000	
0.305400	0.230252	0.871287	1.000000	
0.273935	0.219148	0.900990	1.000000	
0.315127	0.230756	0.910891	1.000000	
0.288337	0.235661	0.910891	1.000000	
0.322903	0.228850	0.881188	1.000000	
0.285461	0.216015	0.940594	1.000000	
0.314731	0.223906	0.881188	1.000000	
0.277122	0.236555	0.910891	1.000000	
0.302853	0.220671	0.900990	1.000000	
0.333124	0.219903	0.851485	1.000000	
0.322181	0.234492	0.930693	1.000000	
0.299014	0.223193	0.871287	1.000000	
0.310584	0.219388	0.851485	1.000000	
0.305868	0.225747	0.881188	1.000000	
0.208659	0.218925	0.980198	1.000000	
0.277088	0.215495	0.900990	1.000000	
0.223513	0.214622	0.970297	1.000000	
0.253037	0.217824	0.930693	1.000000	
0.279832	0.214981	0.930693	1.000000	
0.266105	0.211871	0.930693	1.000000	
0.291389	0.209024	0.910891	1.000000	
0.315476	0.214655	0.861386	1.000000	
0.295389	0.211846	0.900990	1.000000	
0.275198	0.210833	0.910891	1.000000	
0.263934	0.206922	0.920792	1.000000	
0.307374	0.209262	0.900990	1.000000	
0.281060	0.211780	0.881188	1.000000	
0.300022	0.210650	0.900990	1.000000	
0.330367	0.207455	0.851485	1.000000	
0.312080	0.211640	0.871287	1.000000	
0.239616	0.207047	0.950495	1.000000	
0.267507	0.203463	0.950495	1.000000	
0.293951	0.206604	0.900990	1.000000	
0.329014	0.203508	0.871287	1.000000	
0.277752	0.210337	0.920792	1.000000	
0.265792	0.201755	0.920792	1.000000	
0.377803	0.205573	0.871287	1.000000	
0.258262	0.205870	0.930693	1.000000	
0.258016	0.199728	0.900990	1.000000	
0.250251	0.203164	0.891089	1.000000	
0.300853	0.210715	0.881188	1.000000	
0.307958	0.204930	0.900990	1.000000	
0.310763	0.201034	0.930693	1.000000	
0.271012	0.207288	0.910891	1.000000	
0.287702	0.210307	0.920792	1.000000	
0.265915	0.198820	0.910891	1.000000	
0.275103	0.201463	0.910891	1.000000	
0.285466	0.205360	0.891089	1.000000	
0.251334	0.196232	0.950495	1.000000	
0.272611	0.203315	0.861386	1.000000	
0.261665	0.204529	0.930693	1.000000	
0.287858	0.196270	0.910891	1.000000	
0.268125	0.205630	0.940594	1.000000	
0.339804	0.192614	0.861386	1.000000	
0.300330	0.199784	0.920792	1.000000	
0.257381	0.203956	0.910891	1.000000	
0.301565	0.191141	0.900990	1.000000	
0.279148	0.192075	0.900990	1.000000	
0.270146	0.203986	0.900990	1.000000	
0.266389	0.208689	0.900990	1.000000	
0.236890	0.198106	0.940594	1.000000	
0.271724	0.201612	0.891089	1.000000	
0.326506	0.198747	0.891089	1.000000	
0.296619	0.202058	0.861386	1.000000	
0.297236	0.192677	0.891089	1.000000	
0.243851	0.200242	0.940594	1.000000	
0.276606	0.190853	0.900990	1.000000	
0.259309	0.188518	0.910891	1.000000	
0.298168	0.193075	0.881188	1.000000	
0.334539	0.191181	0.851485	1.000000	
0.238070	0.195118	0.940594	1.000000	
0.281773	0.205955	0.910891	1.000000	
0.283703	0.190000	0.900990	1.000000	
0.320240	0.186956	0.891089	1.000000	
0.263831	0.192984	0.920792	1.000000	
0.270692	0.196473	0.910891	1.000000	
0.255079	0.187275	0.900990	1.000000	
0.299650	0.184233	0.881188	1.000000	
0.269738	0.186457	0.881188	1.000000	
0.315854	0.192573	0.900990	1.000000	
0.274882	0.182703	0.871287	1.000000	
0.266454	0.185964	0.891089	1.000000	
0.247605	0.196796	0.920792	1.000000	
0.274840	0.188274	0.900990	1.000000	
0.254614	0.181506	0.920792	1.000000	
0.276978	0.179623	0.910891	1.000000	
0.274842	0.194445	0.930693	1.000000	
0.298510	0.193426	0.861386	1.000000	
0.277436	0.195971	0.881188	1.000000	
0.281764	0.184131	0.930693	1.000000	
0.278757	0.185931	0.900990	1.000000	
0.288937	0.185382	0.910891	1.000000	
0.269727	0.191270	0.910891	1.000000	
0.231268	0.177492	0.920792	1.000000	
0.236263	0.182696	0.920792	1.000000	
0.295150	0.184757	0.881188	1.000000	
0.242165	0.183448	0.940594	1.000000	
0.256131	0.193088	0.910891	1.000000	
0.168436	0.195508	0.980198	1.000000	
0.232130	0.181263	0.910891	1.000000	
0.310667	0.173951	0.881188	1.000000	
0.273228	0.178376	0.910891	1.000000	
0.287948	0.195074	0.920792	1.000000	
0.278530	0.180299	0.910891	1.000000	
0.234115	0.172202	0.940594	1.000000	
0.221819	0.176167	0.920792	1.000000	
0.283738	0.174474	0.930693	1.000000	
0.229891	0.175047	0.950495	1.000000	
0.308088	0.181080	0.881188	1.000000	
0.256944	0.183585	0.900990	1.000000	
0.297213	0.184883	0.930693	1.000000	
0.259918	0.172552	0.940594	1.000000	
0.277224	0.185791	0.910891	1.000000	
0.269566	0.176858	0.891089	1.000000	
0.274053	0.182648	0.920792	1.000000	
0.247076	0.176650	0.900990	1.000000	
0.271255	0.172276	0.930693	1.000000	
0.266768	0.181447	0.891089	1.000000	
0.191993	0.184940	0.940594	1.000000	
0.206645	0.180532	0.940594	1.000000	
0.273960	0.169081	0.920792	1.000000	
0.303979	0.170894	0.871287	1.000000	
0.251387	0.171376	0.930693	1.000000	
0.245155	0.166837	0.920792	1.000000	
0.231702	0.169160	0.910891	1.000000	
0.333586	0.178900	0.871287	1.000000	
0.303324	0.172367	0.920792	1.000000	
0.282723	0.171925	0.900990	1.000000	
0.229648	0.169420	0.940594	1.000000	
0.247517	0.176789	0.960396	1.000000	
0.232404	0.184898	0.940594	1.000000	
0.247616	0.163068	0.871287	1.000000	
0.281109	0.165291	0.891089	1.000000	
0.298451	0.174427	0.900990	1.000000	
0.269428	0.167582	0.881188	1.000000	
0.221321	0.170551	0.950495	1.000000	
0.265374	0.166315	0.891089	1.000000	
0.327182	0.167396	0.851485	1.000000	
0.257392	0.161992	0.920792	1.000000	
0.299166	0.178514	0.900990	1.000000	
0.258587	0.181616	0.920792	1.000000	
